ID,지역코드,이름,주소,위도,경도,개요,체크인,체크아웃,이미지
1,1,반얀트리 클럽 앤 스파 서울,,37.55012877,127.000525,,,,http://tong.visitkorea.or.kr/cms/resource/69/2719669_image2_1.jpg
2,1,하이서울유스호스텔,,37.52513549,126.9032235,,,,http://imgnews.naver.net/image/018/2018/01/05/0004005885_001_20180105111704711.jpg
3,1,아모렉스관광호텔,,37.56366116,127.0353298,,,,http://tong.visitkorea.or.kr/cms/resource/77/1361577_image2_1.jpg
4,1,라자호텔,,37.51544029,127.1082634,,,,https://pix10.agoda.net/hotelImages/568/568717/568717_16051917310042502384.jpg?s=1024x768
5,1,Nu Motel(엔유모텔),,37.51097365,127.0808744,,,,http://tong.visitkorea.or.kr/cms/resource/63/1920663_image2_1.jpg
6,1,트리아 관광호텔,,37.50292662,127.0394284,,,,http://tong.visitkorea.or.kr/cms/resource/92/1358992_image2_1.jpg
7,1,유로파라텔,,37.5001993,126.8921252,,,,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bdfb8595-a578-48c7-8989-fd569fdcb3cc
8,1,고궁호텔,,37.57577572,126.9968246,,,,https://images.trvl-media.com/hotels/11000000/10090000/10083300/10083293/9330be13.jpg?impolicy=fcrop&w=1200&h=800&p=1&q=medium
9,1,르아브르,,37.54605984,126.8475613,,,,https://modo-phinf.pstatic.net/20211012_114/1634029961067fFEBi_JPEG/mosaBy2PvG.jpeg
10,1,씨엘모텔(CL모텔),,37.52839232,126.8405847,,,,http://imgnews.naver.net/image/022/2013/08/23/20130823002007_0_59_20130823155405.jpg
11,1,칼튼호텔,,37.5545395,126.8524717,,,,http://post.phinf.naver.net/MjAxNzAzMDhfNjgg/MDAxNDg4OTQ4OTAyMzUw.gFxqa36te6nqQmpkPoWrHkl8-pXb_kgenu2YHf-PTKUg.LDCVG4DAs5kyVn8myO-KqQT4lUVGNTMvP3Qu-xBF7X8g.JPEG/IVkC2LzxvEl3SOnzpT2gb25ipvus.jpg
12,1,쿠즈모텔,,37.57641442,126.9899891,,,,https://ldb-phinf.pstatic.net/20210712_90/1626075822129CHFxz_JPEG/wOTqzD2vjayIpz7EJj8Z5rSm.jpg
