userId,itemId,rating
1,381,3.6
1,331,4.6
1,123,4.3
1,17,1.8
1,195,0.3
1,21,4.4
1,291,3.6
1,401,1.5
1,216,0.2
1,28,4.9
1,584,3.1
1,309,1.5
1,94,3.2
1,233,0.5
1,308,2.9
1,189,1.3
1,474,0.7
1,555,1
1,267,4.5
1,243,3.7
1,244,0.3
1,231,4.5
1,76,2.9
1,150,4.9
1,186,4.7
1,42,4
1,303,1.3
1,120,4.1
1,593,1.4
1,332,1.3
1,342,3.8
1,12,0.8
1,163,0.3
1,520,1.5
2,426,1.7
2,395,3.1
2,283,4.3
2,58,1.8
2,448,2.8
2,213,1.2
2,13,2.4
2,452,3.4
2,285,3.3
2,363,0.7
2,81,1.1
2,159,0.2
2,85,0.2
2,218,4.9
2,222,4.3
2,496,0.9
2,448,1.1
2,495,1.6
2,592,3.9
2,539,4.4
2,3,2.3
2,562,3.6
2,224,2.9
2,558,3.8
2,305,4.7
2,156,0.8
2,54,3.5
2,280,1.1
2,423,2.5
2,391,2.8
2,460,2.7
2,452,3.2
2,371,1.9
2,523,2.3
2,543,4.3
2,513,2.9
2,375,3.5
2,161,4.6
2,237,4.4
2,105,3.3
2,76,1.7
2,271,0.9
2,422,2.3
2,87,4.8
2,514,2.8
2,385,3.8
2,286,0.2
2,341,3.5
2,302,4.3
2,383,2.7
2,129,2.2
2,38,2.9
2,361,2.2
2,444,3.4
2,471,4.7
3,462,2.6
3,216,0.8
3,25,0.8
3,555,1.3
3,419,4.2
3,193,4.1
3,424,3.8
3,160,3.4
3,135,1
3,570,0
3,187,0.8
3,310,3.3
3,168,2.7
3,385,4.6
3,415,3
3,350,4.3
3,291,2.7
3,11,4.1
3,428,4.7
3,188,2.2
3,569,0.8
3,47,1.9
3,384,4.8
3,41,1.2
3,434,4.8
3,241,4.9
3,355,2.4
3,265,0.2
3,151,4
3,69,0.2
3,183,2.1
3,373,2.4
3,596,3.9
3,268,0.4
3,231,1.5
3,207,0
3,304,1.8
3,403,4
3,165,3.2
3,574,4.6
3,134,0.3
3,516,1.4
3,168,2.2
3,251,4.5
3,257,2.5
3,44,3.1
3,408,2
3,393,0.5
3,297,3.6
4,229,2.8
4,328,0.6
4,579,4.2
4,324,1.9
4,129,4.9
4,497,4.1
4,59,1.3
4,128,0.6
4,581,0.5
4,351,1.9
4,500,4.1
4,256,4.1
4,500,4.3
4,410,1.2
4,579,0.3
4,52,2.8
4,245,2.1
4,248,3.4
4,326,3.9
4,288,3.6
4,167,2.4
4,577,1.3
4,71,2.8
4,301,2.5
4,588,0.2
4,333,2.1
4,456,1.3
4,98,3.4
4,307,0.9
4,194,1.1
4,290,4.4
4,270,3
4,485,0.1
4,546,1.8
4,59,4.9
4,55,1.5
4,192,0.1
4,329,0.7
5,450,3.4
5,443,2.4
5,14,2.2
5,160,2.5
5,565,2.8
5,420,2.9
5,157,3.8
5,568,1.2
5,41,0.9
5,152,3.5
5,447,1.6
5,94,3.1
5,315,0
5,562,3.2
5,437,3.6
5,115,4.9
5,192,2.2
5,597,3.6
5,61,2.7
5,177,3.6
5,10,3.1
5,482,0.9
5,282,2.3
5,513,4.5
5,205,2.9
5,174,3.2
5,26,2.6
5,341,4
5,179,3.9
5,43,3.3
5,444,0.4
5,70,4.4
5,367,1.5
5,120,1
5,559,2.2
5,193,1.2
5,387,1.3
5,306,4.8
5,32,1.8
6,104,4.8
6,546,2
6,242,1.6
6,420,1.1
6,147,1.2
6,51,4.6
6,133,4.7
6,268,2.1
6,125,5
6,508,2.2
6,588,3.6
6,278,2.3
6,229,3.5
6,504,4.1
6,153,0.5
6,19,2.7
6,534,0.6
6,477,2.6
6,538,1.5
6,400,3.4
6,172,3.5
6,598,4.6
6,87,4.8
6,47,1.9
6,291,4.3
6,311,3.3
6,442,0.1
6,272,2.5
6,375,3.8
