userId,itemId,rating
1,488,2.7
1,278,3.5
1,358,0.9
1,389,1.7
1,569,1.2
1,84,3.7
1,525,3.5
1,643,3
1,892,0.9
1,45,2.7
1,240,4.2
1,465,1.5
1,45,0.7
1,371,3.3
1,437,2.8
1,728,3.7
1,511,1.6
1,729,2.2
1,274,0.7
1,73,4.6
1,210,3
1,709,1.1
1,891,3.4
1,493,1.1
1,443,0.2
1,257,4.5
1,981,3.6
1,923,2.4
1,824,1.3
1,772,2.7
1,541,4.9
1,319,3
1,235,1
1,406,1.1
2,661,0.4
2,52,4.8
2,354,4.4
2,77,2.8
2,270,0.8
2,22,1.7
2,615,2.1
2,187,3.8
2,125,2.5
2,961,2.1
2,386,3.9
2,641,4
2,707,3.8
2,19,3.5
2,884,2.7
2,985,3.4
2,326,2.2
2,53,4.2
2,913,3.1
2,476,3.4
2,188,3.9
2,774,4.8
2,679,0.5
2,610,1.1
2,581,4
2,644,1.3
2,812,4.2
2,618,2.9
2,280,2
2,691,2.5
2,747,3.9
2,119,1.5
2,81,2.2
2,275,1.3
2,851,4.6
2,370,2.8
2,285,1.2
2,651,1.3
2,410,3.5
2,231,2.1
2,652,3
2,14,4.9
2,650,1
2,309,0.6
2,564,5
2,567,4.1
2,318,3.2
2,1011,4.4
2,687,0.7
2,294,4.7
2,201,1.8
2,527,2
2,166,3.8
2,186,0.1
2,661,3.3
3,183,0.4
3,140,3.5
3,874,0.9
3,17,3.1
3,1007,0.1
3,773,0.2
3,736,4.7
3,760,2.2
3,125,1.8
3,203,0.1
3,913,1.5
3,826,1.8
3,92,2.8
3,830,5
3,997,4.2
3,925,0.8
3,82,1.3
3,378,3.8
3,680,2.2
3,759,1.2
3,924,3.4
3,621,0.6
3,349,1.6
3,260,3.7
3,251,4
3,261,1.9
3,762,2.2
3,1003,2
3,241,4.5
3,2,0.2
3,680,2.1
3,593,2.5
3,268,1.5
3,225,3.7
3,547,2.9
3,867,3.6
3,463,3.1
3,407,3.7
3,932,4.6
3,288,1.1
3,536,1.6
3,812,3.2
3,576,3.2
3,175,2.9
3,689,0.7
3,239,0.8
3,553,2.1
3,668,0.1
3,249,4.8
4,578,3.3
4,679,4.7
4,441,2
4,571,0.5
4,830,0.8
4,489,2.9
4,685,0
4,769,2.1
4,205,4.5
4,716,1.8
4,61,2.5
4,546,3.6
4,359,1
4,324,4.3
4,43,2.9
4,147,0.2
4,157,1.7
4,190,3.4
4,378,0.2
4,16,4.9
4,312,0.8
4,542,3.7
4,544,3.5
4,404,0.9
4,579,2.5
4,3,1.2
4,594,4.1
4,69,3.4
4,59,0.5
4,680,5
4,36,1.7
4,827,3
4,379,3.5
4,908,3.2
4,214,1.3
4,177,0.2
4,576,3.7
4,888,1.1
5,51,1.9
5,610,0.6
5,562,0.9
5,939,2.9
5,140,1.7
5,1006,4.3
5,404,2.5
5,992,2.4
5,941,2.2
5,453,4.3
5,500,1.1
5,943,1
5,331,4.4
5,135,1.9
5,497,0.8
5,382,2.6
5,843,0.9
5,729,0.2
5,971,2.2
5,852,3.6
5,9,3.3
5,979,1.6
5,944,4.3
5,55,3.3
5,853,3.8
5,75,0.5
5,532,1.4
5,799,4.2
5,901,1.8
5,102,4
5,515,4.1
5,916,2.3
5,487,2.6
5,280,1.1
5,833,3.3
5,490,1.8
5,435,1.4
5,386,2.4
5,915,2.6
6,152,4.8
6,499,4.4
6,382,1
6,598,2.9
6,351,3.9
6,760,3.2
6,820,5
6,952,4.4
6,670,4.4
6,512,3.5
6,451,0.8
6,584,2.3
6,381,4.2
6,33,0.5
6,590,3.8
6,886,0.5
6,253,4.5
6,410,4.8
6,498,3.2
6,432,4.5
6,717,3.6
6,409,1.4
6,656,3
6,1003,4.3
6,515,2.4
6,929,0.4
6,591,1.1
6,175,3.8
6,709,1.7
