1,245,1.2
1,205,3.8
1,284,2.3
1,350,0.8
1,283,4.3
1,486,0.1
1,75,0.6
1,242,1.4
1,423,2.8
1,232,2.2
1,477,3.3
1,256,4.2
1,288,3.0
1,130,1.4
1,32,0.7
1,494,0.3
1,126,2.2
1,271,4.6
1,25,3.1
1,77,2.9
1,65,2.8
1,14,4.6
1,184,4.8
1,83,3.6
1,494,1.1
1,341,1.5
1,131,2.9
1,51,3.1
1,436,2.2
1,174,4.1
1,213,1.7
1,102,3.1
1,438,4.7
1,275,4.3
2,40,3.4
2,512,4.6
2,518,0.2
2,275,1.3
2,374,3.3
2,36,0.4
2,425,3.9
2,2,5.0
2,206,0.3
2,157,4.0
2,398,3.6
2,251,3.5
2,486,2.7
2,117,3.3
2,80,1.9
2,387,3.7
2,227,0.7
2,73,1.8
2,430,0.4
2,49,1.0
2,484,1.9
2,178,0.2
2,129,0.7
2,370,4.3
2,255,1.7
2,200,2.9
2,4,0.4
2,512,1.2
2,276,0.1
2,222,4.0
2,354,4.5
2,257,0.8
2,471,4.7
2,328,3.1
2,0,1.1
2,369,0.0
2,314,0.5
2,307,4.5
2,337,4.2
2,126,2.7
2,420,0.5
2,223,3.5
2,435,2.1
2,425,0.6
2,39,3.9
2,453,0.9
2,477,1.7
2,237,1.4
2,158,2.5
2,276,0.8
2,268,3.9
2,251,1.9
2,147,4.0
2,227,0.2
2,415,0.2
3,390,4.7
3,158,4.6
3,349,2.9
3,244,0.8
3,2,3.4
3,115,3.0
3,304,2.9
3,499,1.7
3,473,3.5
3,268,1.3
3,433,3.4
3,474,4.4
3,191,3.4
3,375,1.5
3,337,1.1
3,169,2.3
3,57,0.8
3,55,0.7
3,527,3.3
3,150,0.1
3,171,1.2
3,182,4.5
3,429,0.8
3,42,4.6
3,131,3.8
3,369,4.1
3,480,2.8
3,169,0.4
3,193,3.5
3,404,4.2
3,158,1.2
3,34,2.8
3,248,1.8
3,375,1.7
3,389,4.3
3,13,1.6
3,93,4.8
3,156,1.6
3,400,2.0
3,456,4.6
3,503,3.8
3,476,1.4
3,220,1.7
3,222,0.5
3,479,4.8
3,38,0.4
3,82,3.5
3,225,2.5
3,494,3.7
4,255,1.1
4,40,4.0
4,489,3.0
4,465,2.1
4,140,1.7
4,176,3.7
4,146,3.9
4,54,0.4
4,24,1.5
4,319,4.9
4,502,0.0
4,147,3.1
4,131,2.7
4,392,3.5
4,160,0.9
4,512,1.0
4,528,0.7
4,444,3.1
4,367,0.1
4,263,2.7
4,71,4.4
4,390,1.4
4,100,1.9
4,464,2.8
4,351,2.2
4,240,0.7
4,29,0.1
4,492,2.4
4,27,3.0
4,215,3.5
4,5,2.2
4,47,1.5
4,226,2.1
4,248,4.9
4,158,4.2
4,90,1.3
4,202,3.0
4,259,3.8
5,337,2.5
5,30,1.0
5,210,4.9
5,40,4.3
5,222,1.1
5,400,3.4
5,238,0.6
5,108,0.7
5,348,1.7
5,136,3.4
5,212,1.3
5,244,1.0
5,71,1.9
5,267,0.6
5,25,0.5
5,342,3.4
5,423,0.7
5,461,1.1
5,110,0.7
5,321,0.2
5,484,0.9
5,497,2.3
5,21,4.5
5,516,1.6
5,141,1.3
5,126,3.4
5,18,4.8
5,68,4.7
5,489,0.8
5,111,3.2
5,79,3.0
5,272,2.3
5,524,1.8
5,455,3.9
5,282,2.3
5,36,4.9
5,78,3.8
5,147,3.5
5,176,0.1
6,312,3.4
6,335,3.9
6,200,2.0
6,14,3.5
6,252,0.2
6,144,4.1
6,437,3.2
6,208,1.4
6,269,4.7
6,191,3.5
6,408,3.0
6,463,0.0
6,428,2.9
6,346,2.2
6,328,5.0
6,480,0.4
6,381,0.9
6,251,0.6
6,395,0.9
6,259,1.0
6,97,1.7
6,278,4.2
6,258,2.7
6,154,3.5
6,180,0.6
6,487,3.8
6,399,0.1
6,7,1.5
6,90,4.6
6,24,0.2
6,503,2.8
6,109,4.7
6,458,4.3
6,470,0.3
6,201,2.9
6,494,2.8
6,400,1.7
6,479,2.9
6,18,2.8
6,452,1.8
6,307,2.9
6,410,0.6
6,345,2.4
6,489,2.4
6,288,2.0
6,7,1.7
6,470,1.2
6,252,4.2
6,413,4.1
6,80,4.2
6,114,3.2
6,123,3.5
6,150,3.4
6,175,3.3
6,18,2.6
6,458,0.1
6,231,3.5
6,380,2.9
6,488,1.0
6,155,4.2
6,475,0.3
6,220,0.3
6,418,4.1
6,444,1.1
6,141,1.2
6,128,4.7
6,175,1.7
6,53,3.9
6,402,4.7
7,18,1.2
7,74,4.6
7,461,0.6
7,25,4.1
7,178,4.6
7,231,2.9
7,147,4.3
7,126,1.5
7,87,4.8
7,402,3.6
7,37,2.8
7,459,1.8
7,509,0.7
7,82,4.6
7,455,2.8
7,0,4.1
7,386,2.8
7,42,2.3
7,460,3.1
7,390,1.2
7,271,3.7
7,153,3.4
7,110,4.8
7,206,4.3
7,155,4.1
7,36,1.3
7,330,2.8
7,147,5.0
7,443,4.5
7,446,0.1
7,83,2.6
7,19,2.5
7,141,4.1
7,317,0.5
7,70,2.7
7,338,3.2
7,498,1.0
7,36,4.0
7,158,3.6
7,465,1.1
7,24,0.4
7,59,1.4
7,351,4.1
7,510,2.0
7,503,3.0
7,495,3.0
7,245,4.6
7,87,3.8
7,64,4.7
7,299,4.5
7,92,1.6
7,43,3.2
7,411,1.1
7,102,1.3
7,38,1.2
7,82,0.2
7,214,3.9
7,70,1.0
7,237,1.9
7,7,2.8
7,296,0.2
7,355,1.5
7,462,1.4
7,84,3.2
7,127,4.9
7,203,1.2
7,383,0.4
7,155,2.1
7,144,2.5
7,84,1.1
7,324,2.5
7,308,4.6
7,442,0.3
7,438,1.8
7,261,3.1
7,63,3.8
7,197,2.6
7,409,4.9
7,387,1.2
7,288,0.1
7,114,2.3
7,79,0.8
7,220,0.8
7,147,0.7
7,34,1.7
7,15,2.4
7,288,0.5
7,332,4.5
7,74,3.3
7,194,4.2
7,58,3.3
7,135,2.4
7,55,4.3
7,337,1.8
7,119,4.1
7,368,0.9
7,68,3.6
7,277,2.8
7,372,3.3
7,200,3.6
7,43,4.4
7,275,1.1
7,268,0.2
7,417,2.6
7,422,3.1
7,211,4.8
7,53,0.3
7,32,0.1
7,470,4.6
7,423,1.7
7,445,1.3
7,428,0.6
7,10,1.1
7,5,3.9
7,234,4.4
7,419,0.7
7,278,2.4
7,464,3.6
7,206,2.7
7,299,1.8
7,214,4.0
7,119,0.2
7,167,4.7
7,210,4.7
7,245,1.8
7,491,2.5
7,215,1.6
7,218,1.6
7,221,2.2
7,164,3.9
7,175,3.0
7,322,0.6
7,10,2.8
7,14,0.9
7,337,4.6
7,518,5.0
7,295,0.3
7,280,3.6
7,478,0.7
7,131,3.7
7,170,1.9
7,120,2.8
7,388,4.7
7,468,1.4
7,416,1.4
7,515,1.0
7,247,3.3
7,231,3.5
7,20,2.7
7,63,1.1
7,498,1.4
7,468,4.4
7,288,3.2
7,32,2.6
7,381,3.4
7,489,3.2
7,325,1.4
7,445,0.7
7,323,3.8
7,140,0.2
7,479,0.9
7,228,2.9
