ID,지역코드,명칭,주소,위도,경도,개요,이용시간,이미지
1,9,성산일출봉 [유네스코 세계자연유산],,33.45811112,126.9415156,,,http://post.phinf.naver.net/MjAxNjEyMThfMjk5/MDAxNDgyMDEyMzEzNjEz.YUEFi9CVYxW6QwblUFeKqytuo_8dQANezODrSuPTIFcg.G6P969_fhrAA9d7FL9_CUjKvzrMXS0VDuu2zPrCQD5Ug.JPEG/IcDzAcBh6Z4wQViCrT44uARgsuuE.jpg
2,9,표선 해비치 해변,,33.32564354,126.8396358,,,https://dbscthumb-phinf.pstatic.net/2765_000_161/20181211034419955_7W4GV1Z32.jpg/456084.jpg?type=m4500_4500_fst
3,9,도두동 무지개해안도로,,33.50938958,126.4724746,,,http://post.phinf.naver.net/MjAyMTEwMTJfMTYz/MDAxNjM0MDE4ODM5NTcw.9nit_2Q8a38bhnyvtfLVtgKWFjYxJEmKnlG-61oajDEg.aE30ZIyEU0cf26rAkcAf2uji9-xnBv1AqKtimMN4ecQg.PNG/IRSNgYcidnbGFaDWMP4pKJM4xSn8.jpg
4,9,방선문,,33.45429361,126.5169053,,,http://imgnews.naver.net/image/112/2013/01/03/20130103000484_1_59_20130103110700.jpg
5,9,오현단,,33.5102931,126.5255811,,,https://dbscthumb-phinf.pstatic.net/2765_000_122/20181203120043477_T4RUNIRH7.jpg/347754.jpg?type=m4500_4500_fst
6,9,알뜨르비행장 및 일본군 비행기 격납고,,33.20312307,126.2727655,,,http://tong.visitkorea.or.kr/cms/resource/75/197675_image2_1.jpg
7,9,용수항,,33.32356086,126.1649638,,,https://dbscthumb-phinf.pstatic.net/2765_000_227/20181224193852429_13J7TFETE.jpg/433460.jpg?type=m4500_4500_fst
8,9,갯깍주상절리대,,33.30052845,126.4156981,,,http://post.phinf.naver.net/MjAxOTExMTJfMTcy/MDAxNTczNTY3OTIyMzQ5.srnzOWOq8jg16EATqi4wB0SIPEsZlUT41hyK4KvMa6sg.XcwSgW32PRZ2TnbnYevr4DRP14wtiRXeGiJtRl5R5eAg.JPEG/IU5mtaL5pbENQfPFrdq5dI5wV6PA.jpg
9,9,구시물,,33.29539761,126.7120031,,,http://imgnews.naver.net/image/5025/2019/06/10/0000341669_002_20190610122638407.png
10,9,하고수동해변,,33.51427461,126.9574574,,,https://www.popco.net/zboard/data2/dica_forum_sony/2016/04/28/240d1c9d773f0d160225c46e16799813.jpg
11,9,산지천,,33.51620641,126.5299611,,,http://imgnews.naver.net/image/421/2021/10/28/0005685748_001_20211028100113348.jpg
12,9,만장굴 (제주도 국가지질공원),,33.52804785,126.7706788,,,http://www.jeju.go.kr/files/board/e5814b72-8aa3-4c70-8420-25274b13b72b.jpg
13,9,화조원,,33.41133773,126.3720161,,,https://file1.bobaedream.co.kr/national/2022/03/17/23/ljk91647526583_107811623.jpg
14,9,비양도선착장,,33.41909071,126.2625727,,,http://imgnews.naver.net/image/047/2010/01/30/1264819442.813609_IE001160515_STD.JPG
15,9,나홀로나무,,33.35095238,126.3492166,,,http://shop1.phinf.naver.net/20211216_72/1639646419589KoxbG_JPEG/40782314981442344_15187335.jpg
16,9,월정사(제주),,33.46676157,126.5100973,,,http://imgnews.naver.net/image/5019/2019/05/06/0000240641_001_20190506232037636.jpg
17,9,서귀포 가시리마을 (녹산로 유채꽃도로),,33.35327551,126.7716355,,,http://imgnews.naver.net/image/396/2019/04/10/0000509024_012_20190410030306418.jpg
18,9,천제연폭포,,33.252656,126.4184295,,,https://www.popco.net/zboard/data/dica_forum_fujifilm/2018/10/26/2120842835bd2edcbaae1c.JPG
19,9,협재포구,,33.38222792,126.2498107,,,https://fastly.4sqi.net/img/general/600x600/10605336_UFTYPLvFkppReutO1h8T1d_yEo6XrRaZ9ZqCouOb2lo.jpg
20,9,평화통일 불사리탑,,33.5319647,126.6362432,,,http://tong.visitkorea.or.kr/cms/resource/08/1618408_image2_1.jpg
21,9,한라산 영실,,33.34023064,126.4803111,,,https://cdn.ppomppu.co.kr/zboard/data3/2022/0109/20220109214223_3chSpkB9y4.jpeg
22,9,쇠소깍,,33.25217874,126.6231007,,,http://post.phinf.naver.net/MjAyMDA1MDJfMTIy/MDAxNTg4NDA4NTA4OTU1.VzLq443KxIvFqylncCZYaZ5kzI9SwUnhVUGdRTnuWqEg.mgJQ3a-BQE-oQVTHwpOOD1Tse-ipm3HIQJjS7sUcnKgg.JPEG/IaIO1CJeoRI1JxfNmveNRyqKC4Aw.jpg
23,9,성산포성당,,33.45399168,126.913657,,,https://dbscthumb-phinf.pstatic.net/2818_000_37/20211217225858359_RLIF552KK.jpg/2800010_image2_1.jpg?type=m4500_4500_fst
24,9,서귀포자연휴양림,,33.31081973,126.4630827,,,http://post.phinf.naver.net/MjAyMjA2MDZfOTIg/MDAxNjU0NDcyNTIzMDcy.RuzQ_6Jkw5ul1yv9BnP5uKK5q8Bi-DeUayOZIaggKQYg.HqoliIb8JqBzwK5HKzno639gw73Z7htSm1Va01-N3ugg.JPEG/IZrVu1003JDlUkIhWfCDR42X7Cf0.jpg
25,9,휴림,,33.44381004,126.4287993,,,https://ldb-phinf.pstatic.net/20220803_167/1659494020927P6g0z_JPEG/DSC_5701.jpg
26,9,물드리네,,33.32274247,126.2269446,,,http://imgnews.naver.net/image/5085/2011/06/13/100618_109498_581.jpg
27,9,검멀레해변,,33.49672951,126.9685513,,,http://post.phinf.naver.net/MjAyMTA5MjRfNDUg/MDAxNjMyNDUxNTg4MDYy.RBStJk3D3ZbU08bXj6rvEKRzFAElyMWrzHMpOzzPQSQg.we0xq9WbgnYtBkacOYYCBTb6FFfEzMuXtFmjb1hAuNEg.JPEG/IsKac4n5_7u9uaM7hwYSRXySaPSo.jpg
28,9,산지 등대,,33.52091447,126.5456624,,,http://imgnews.naver.net/image/5452/2019/11/06/0000065560_001_20191106174125790.jpg
29,9,교래 삼다수마을,,33.4363537,126.6768835,,,http://imgnews.naver.net/image/469/2018/02/01/0000275215_001_20180202045207891.jpg
30,9,동광리농촌체험마을,,33.30665431,126.337102,,,http://imgnews.naver.net/image/014/2018/02/15/0003966071_002_20180226223622561.jpg
31,9,판포포구,,33.3654401,126.1996321,,,http://post.phinf.naver.net/20160731_192/1469975889256hyCad_JPEG/IdEVQpMCdwvl7ylWkDgAUyv594PA.jpg
32,9,마라도(마라해양도립공원),,33.11863508,126.2674345,,,http://tong.visitkorea.or.kr/cms/resource/19/1281919_image2_1.jpg
33,9,북촌 돌하르방공원,,33.5396036,126.6896606,,,https://dbscthumb-phinf.pstatic.net/2765_000_227/20181224184139890_79GJFVRD1.jpg/410272.jpg?type=m4500_4500_fst
34,9,비밀의 숲,,33.45377803,126.7552818,,,http://imgnews.naver.net/image/213/2017/07/31/0000979135_001_20170731085708737.jpg
35,9,월정리해변(월정리해수욕장),,33.55465368,126.7983897,,,http://post.phinf.naver.net/MjAxNzA3MjRfMTQw/MDAxNTAwODU2MTA0NTk2.m9WaHWd7ZhoyjcPCu4DpJovWiu5yDjQrJUHHvtoqESkg.Jcx00kIDNpM3DtRG28A4vXXasPdNVwTRQdYAjJttiPkg.JPEG/IcSLD-FtkZRSesNyG9mhFz5nCLlA.jpg
